,name,url,timeB
0,刀镇星河8,http://www.sodu888.com/book/288771.html,"[['10:30', '12:30'], ['15:00', '17:30']]"
1,极道天魔8,http://www.sodu888.com/book/295430.html,"[['16:32', '17:30']]"
2,蛊真人8,http://www.sodu888.com/book/2705.html,"[['19:54', '23:00']]"
3,牧神记8,http://www.sodu3.com/book/321029.html,"[['11:54', '12:46'], ['19:54', '20:10'], ['20:32', '20:40'], ['21:32', '21:40'], ['22:10', '22:10']]"
3,刀镇星河cc,http://www.sodu.cc/mulu_447943.html,"[['10:24', '12:20'], ['16:54', '17:33'], ['18:54', '19:00'], ['19:32', '19:46']]"
1,极道天魔cc,http://www.sodu.cc/mulu_450287.html,"[['16:46', '17:30']]"
2,蛊真人cc,http://www.sodu.cc/mulu_404.html,"[['19:46', '23:00']]"
2,牧神记cc,http://www.sodu.cc/mulu_488065.html,"[['11:50', '12:46'], ['19:46', '20:10'], ['20:30', '20:40'], ['21:30', '21:40'], ['22:00', '22:10']]"
2,超级浮空城cc,http://www.sodu.cc/mulu_466832.html,"[['8:50', '9:14'], ['15:46', '18:30'], ['19:30', '20:00'], ['21:30', '21:40'], ['22:00', '22:10']]"

